gene_name	n_syn	n_mis	n_non	n_spl	wmis_cv	wnon_cv	wspl_cv	pmis_cv	ptrunc_cv	pallsubs_cv	qmis_cv	qtrunc_cv	qallsubs_cv	wall_cv	sd
BCLAF1	0	0	0	0	0	0	0	0.972978653630684	0.988220548668172	0.999317566453431	0.99549242686347	1	0.999985843225	0	0
EPHA3	0	0	0	0	0	0	0	0.973339261120307	0.989368455007792	0.999352965851941	0.99549242686347	1	0.999985843225	0	0
RB1	0	0	0	0	0	0	0	0.974492930389452	0.989591698229906	0.999403926036299	0.99549242686347	1	0.999985843225	0	0
HGF	0	0	0	0	0	0	0	0.977004750550941	0.990364108110174	0.999511772089932	0.99549242686347	1	0.999985843225	0	0
CMTR2	0	0	0	0	0	0	0	0.976140896396443	0.992908670524845	0.9995133955314	0.99549242686347	1	0.999985843225	0	0
RAD21	0	0	0	0	0	0	0	0.978251261964862	0.989870843869123	0.999547924847393	0.99549242686347	1	0.999985843225	0	0
KEAP1	0	0	0	0	0	0	0	0.976446809534823	0.996289832795484	0.999553459956881	0.99549242686347	1	0.999985843225	0	0
ZNF479	0	0	0	0	0	0	0	0.977920782036513	0.993250120993601	0.99958133041444	0.99549242686347	1	0.999985843225	0	0
SMAD4	0	0	0	0	0	0	0	0.979385658791066	0.99288752337491	0.999626507453913	0.99549242686347	1	0.999985843225	0	0
MB21D2	0	0	0	0	0	0	0	0.980392835029115	0.995194892893583	0.999679916932262	0.99549242686347	1	0.999985843225	0	0
PTK6	0	0	0	0	0	0	0	0.98052025454443	0.995335310129275	0.999684872933831	0.99549242686347	1	0.999985843225	0	0
STK11	0	0	0	0	0	0	0	0.98121284798581	0.995239019589407	0.999704977661387	0.99549242686347	1	0.999985843225	0	0
PTEN	0	0	0	0	0	0	0	0.982854851139611	0.992863641752685	0.999729129028875	0.99549242686347	1	0.999985843225	0	0
FAM78B	0	0	0	0	0	0	0	0.986321449288079	0.996359796479622	0.999842640380956	0.99549242686347	1	0.999985843225	0	0
KRAS	0	0	0	0	0	0	0	0.988802400814969	0.995776588262034	0.999887512308339	0.99549242686347	1	0.999985843225	0	0
B2M	0	0	0	0	0	0	0	0.990030432207812	0.996930638407819	0.999914537816265	0.99549242686347	1	0.999985843225	0	0
