gene_name	n_syn	n_mis	n_non	n_spl	n_ind	wmis_cv	wnon_cv	wspl_cv	wind_cv	pmis_cv	ptrunc_cv	pallsubs_cv	pind_cv	qmis_cv	qtrunc_cv	qallsubs_cv	qind_cv	pglobal_cv	qglobal_cv	wall_cv	sd
ARID1A	1	0	0	0	0	0	0	0	0	0.930463264434729	0.976552524829016	0.995769721523259	1	0.991731327682905	0.999916937218764	0.999963603638812	1	0.999991039728264	0.999999999337644	0	0
PTPN13	0	0	0	0	0	0	0	0	0	0.932419779490225	0.972749508312355	0.99582967938659	1	0.991731327682905	0.999916937218764	0.999963603638812	1	0.999991292099649	0.999999999337644	0	0
EP300	0	0	0	0	0	0	0	0	0	0.932477247688304	0.973599994749912	0.995871496333069	1	0.991731327682905	0.999916937218764	0.999963603638812	1	0.99999146597639	0.999999999337644	0	0
SMARCA4	0	0	0	0	0	0	0	0	0	0.936667096727385	0.979573523947911	0.996521381796773	1	0.991731327682905	0.999916937218764	0.999963603638812	1	0.999993942579802	0.999999999337644	0	0
DICER1	0	0	0	0	0	0	0	0	0	0.938138710070523	0.977501842529418	0.996596542013614	1	0.991731327682905	0.999916937218764	0.999963603638812	1	0.999994201654989	0.999999999337644	0	0
PTPRD	0	0	0	0	0	0	0	0	0	0.938430873896829	0.979183426833815	0.99668192494655	1	0.991731327682905	0.999916937218764	0.999963603638812	1	0.99999448909039	0.999999999337644	0	0
CUX1	0	0	0	0	0	0	0	0	0	0.942275172518576	0.980303114598715	0.997077861677523	1	0.991731327682905	0.999916937218764	0.999963603638812	1	0.999995726389088	0.999999999337644	0	0
DROSHA	0	0	0	0	0	0	0	0	0	0.944194978788381	0.9791607729544	0.997212852245626	1	0.991731327682905	0.999916937218764	0.999963603638812	1	0.999996112290144	0.999999999337644	0	0
ARHGAP35	0	0	0	0	0	0	0	0	0	0.945177751792579	0.981428387309609	0.997368312594118	1	0.991731327682905	0.999916937218764	0.999963603638812	1	0.999996534068948	0.999999999337644	0	0
GRIN2A	0	0	0	0	0	0	0	0	0	0.945744654545736	0.985040469892338	0.997511815824491	1	0.991731327682905	0.999916937218764	0.999963603638812	1	0.999996901899139	0.999999999337644	0	0
PTPRT	1	0	0	0	0	0	0	0	0	0.948014491603311	0.981192714613388	0.997599486004975	1	0.991731327682905	0.999916937218764	0.999963603638812	1	0.999997116458028	0.999999999337644	0	0
ERBB4	0	0	0	0	0	0	0	0	0	0.948801937805727	0.981318858610502	0.997667034380018	1	0.991731327682905	0.999916937218764	0.999963603638812	1	0.999997276516953	0.999999999337644	0	0
TSC1	0	0	0	0	0	0	0	0	0	0.952048450227092	0.982826904066043	0.997962333459584	1	0.991731327682905	0.999916937218764	0.999963603638812	1	0.999997922546003	0.999999999337644	0	0
TERT	0	0	0	0	0	0	0	0	0	0.950946006302386	0.986901029280843	0.997974995809966	1	0.991731327682905	0.999916937218764	0.999963603638812	1	0.999997948293643	0.999999999337644	0	0
RASA1	0	0	0	0	0	0	0	0	0	0.95350771871364	0.983252443852623	0.998081932870791	1	0.991731327682905	0.999916937218764	0.999963603638812	1	0.999998159332026	0.999999999337644	0	0
RB1	0	0	0	0	0	0	0	0	0	0.954394749578672	0.983073674087105	0.998141395580215	1	0.991731327682905	0.999916937218764	0.999963603638812	1	0.999998271723746	0.999999999337644	0	0
RBM10	0	0	0	0	0	0	0	0	0	0.954341071138565	0.984062555540979	0.998163030907082	1	0.991731327682905	0.999916937218764	0.999963603638812	1	0.999998311738197	0.999999999337644	0	0
BCLAF1	0	0	0	0	0	0	0	0	0	0.956963679789623	0.982418563213002	0.998302563047259	1	0.991731327682905	0.999916937218764	0.999963603638812	1	0.999998558538068	0.999999999337644	0	0
EPHA3	0	0	0	0	0	0	0	0	0	0.956929376950573	0.984506303631368	0.998354401044316	1	0.991731327682905	0.999916937218764	0.999963603638812	1	0.999998645258714	0.999999999337644	0	0
BAP1	0	0	0	0	0	0	0	0	0	0.961211205938502	0.987069629059466	0.998686918283105	1	0.991731327682905	0.999916937218764	0.999963603638812	1	0.999999137530622	0.999999999337644	0	0
FBXW7	0	0	0	0	0	0	0	0	0	0.96268414780791	0.986347175278508	0.998759913602325	1	0.991731327682905	0.999916937218764	0.999963603638812	1	0.999999230774829	0.999999999337644	0	0
RAD21	0	0	0	0	0	0	0	0	0	0.96367466394723	0.984838397219922	0.998783103376095	1	0.991731327682905	0.999916937218764	0.999963603638812	1	0.999999259280783	0.999999999337644	0	0
CMTR2	0	0	0	0	0	0	0	0	0	0.962999105731439	0.987875221306141	0.998809205511597	1	0.991731327682905	0.999916937218764	0.999963603638812	1	0.999999290722653	0.999999999337644	0	0
KEAP1	0	0	0	0	0	0	0	0	0	0.963204184290435	0.988739984562469	0.998836960933198	1	0.991731327682905	0.999916937218764	0.999963603638812	1	0.999999323407713	0.999999999337644	0	0
NFE2L2	0	0	0	0	0	0	0	0	0	0.967143340327972	0.987254730880909	0.999024519547602	1	0.991731327682905	0.999916937218764	0.999963603638812	1	0.999999524064163	0.999999999337644	0	0
SMAD4	0	0	0	0	0	0	0	0	0	0.967632810528865	0.9883727152653	0.999070981129428	1	0.991731327682905	0.999916937218764	0.999963603638812	1	0.999999568328271	0.999999999337644	0	0
STK11	0	0	0	0	0	0	0	0	0	0.968868803446894	0.98982803340718	0.99915753015022	1	0.991731327682905	0.999916937218764	0.999963603638812	1	0.999999645022576	0.999999999337644	0	0
PTK6	0	0	0	0	0	0	0	0	0	0.969210057476682	0.990339074453817	0.999182083708769	1	0.991731327682905	0.999916937218764	0.999963603638812	1	0.999999665415237	0.999999999337644	0	0
MB21D2	0	0	0	0	0	0	0	0	0	0.969030243382653	0.991000759071591	0.999183050455795	1	0.991731327682905	0.999916937218764	0.999963603638812	1	0.999999666205811	0.999999999337644	0	0
FAM78B	0	0	0	0	0	0	0	0	0	0.976818256729623	0.993131673941446	0.999540867768611	1	0.991731327682905	0.999916937218764	0.999963603638812	1	0.999999894582662	0.999999999337644	0	0
B2M	0	0	0	0	0	0	0	0	0	0.985831618149731	0.995589959066989	0.999827060222354	1	0.991731327682905	0.999916937218764	0.999963603638812	1	0.999999985045054	0.999999999337644	0	0
